AMAZON,CURRYS,AO,VERY,ARGOS,STUDIO,SMYTHS,HUGHES,SHOP_TO
"(200, False, '2020-12-04T01:53:19.265333')","(200, False, '2020-12-04T01:53:16.586330')","(200, False, '2020-12-04T01:53:14.864332')","(200, False, '2020-12-04T01:53:16.302331')","(200, False, '2020-12-04T01:53:14.878334')","(200, False, '2020-12-04T01:53:18.869328')","(200, False, '2020-12-04T01:53:16.420329')","(200, False, '2020-12-04T01:53:16.525329')","(200, False, '2020-12-04T01:53:19.042331')"
"(200, False, '2020-12-04T08:23:18.444499')","(200, False, '2020-12-04T08:23:21.071500')","(200, False, '2020-12-04T08:23:17.995501')","(200, False, '2020-12-04T08:23:17.822499')","(200, False, '2020-12-04T08:23:16.451385')","(200, False, '2020-12-04T08:23:20.787508')","(200, False, '2020-12-04T08:23:18.265499')","(200, False, '2020-12-04T08:23:18.101499')","(200, False, '2020-12-04T08:23:21.014500')"
"(200, False, '2020-12-04T08:23:46.885201')","(200, False, '2020-12-04T08:23:46.677203')","(200, False, '2020-12-04T08:23:44.146200')","(200, False, '2020-12-04T08:23:43.973202')","(200, False, '2020-12-04T08:23:42.343176')","(200, False, '2020-12-04T08:23:46.412200')","(200, False, '2020-12-04T08:23:42.461174')","(200, False, '2020-12-04T08:23:42.590199')","(200, False, '2020-12-04T08:23:46.620200')"
"(200, False, '2020-12-04T08:24:17.150129')","(200, False, '2020-12-04T08:24:14.522128')","(200, False, '2020-12-04T08:24:14.310132')","(200, False, '2020-12-04T08:24:14.134134')","(200, False, '2020-12-04T08:24:12.578615')","(200, False, '2020-12-04T08:24:16.733129')","(200, False, '2020-12-04T08:24:12.736130')","(200, False, '2020-12-04T08:24:14.462129')","(200, False, '2020-12-04T08:24:16.914129')"
"(200, False, '2020-12-04T08:26:32.384429')","(200, False, '2020-12-04T08:26:29.763430')","(200, False, '2020-12-04T08:26:28.375429')","(200, False, '2020-12-04T08:26:29.698428')","(200, False, '2020-12-04T08:26:27.937428')","(200, False, '2020-12-04T08:26:32.004430')","(200, False, '2020-12-04T08:26:28.073428')","(200, False, '2020-12-04T08:26:28.185431')","(200, False, '2020-12-04T08:26:32.187428')"
"(200, False, '2020-12-04T08:28:05.527844')","(200, False, '2020-12-04T08:28:05.327843')","(200, False, '2020-12-04T08:28:02.724844')","(200, False, '2020-12-04T08:28:02.549845')","(200, False, '2020-12-04T08:28:00.978846')","(200, False, '2020-12-04T08:28:05.068844')","(200, False, '2020-12-04T08:28:01.097850')","(200, False, '2020-12-04T08:28:02.827844')","(200, False, '2020-12-04T08:28:05.272844')"
"(200, False, '2020-12-04T08:28:43.989377')","(200, False, '2020-12-04T08:28:41.104864')","(200, False, '2020-12-04T08:28:39.681866')","(200, False, '2020-12-04T08:28:41.039865')","(200, False, '2020-12-04T08:28:39.195867')","(200, False, '2020-12-04T08:28:43.578380')","(200, False, '2020-12-04T08:28:39.337867')","(200, False, '2020-12-04T08:28:39.480864')","(200, False, '2020-12-04T08:28:43.757379')"
"(200, False, '2020-12-04T08:38:00.192780')","(200, False, '2020-12-04T08:37:57.444780')","(200, False, '2020-12-04T08:37:57.382782')","(200, False, '2020-12-04T08:37:57.210780')","(200, False, '2020-12-04T08:37:55.480780')","(200, False, '2020-12-04T08:37:59.755781')","(200, False, '2020-12-04T08:37:55.640780')","(200, False, '2020-12-04T08:37:55.796781')","(200, False, '2020-12-04T08:37:59.981781')"
"(200, False, '2020-12-04T08:38:32.560462')","(200, False, '2020-12-04T08:38:29.660464')","(200, False, '2020-12-04T08:38:32.320462')","(200, False, '2020-12-04T08:38:29.590461')","(200, False, '2020-12-04T08:38:27.845465')","(200, False, '2020-12-04T08:38:31.966465')","(200, False, '2020-12-04T08:38:27.998463')","(200, False, '2020-12-04T08:38:28.131460')","(200, False, '2020-12-04T08:38:32.159462')"
"(200, False, '2020-12-04T08:42:30.370098')","(200, False, '2020-12-04T08:42:27.779099')","(200, False, '2020-12-04T08:42:27.622098')","(200, False, '2020-12-04T08:42:27.456099')","(200, False, '2020-12-04T08:42:25.863084')","(200, False, '2020-12-04T08:42:30.144096')","(200, False, '2020-12-04T08:42:25.988098')","(200, False, '2020-12-04T08:42:27.717099')","(200, False, '2020-12-04T08:42:30.553099')"
"(200, False, '2020-12-04T08:42:45.976676')","(200, False, '2020-12-04T08:42:43.290675')","(200, False, '2020-12-04T08:42:41.630677')","(200, False, '2020-12-04T08:42:43.231676')","(200, False, '2020-12-04T08:42:41.225678')","(200, False, '2020-12-04T08:42:45.567678')","(200, False, '2020-12-04T08:42:41.339678')","(200, False, '2020-12-04T08:42:41.455680')","(200, False, '2020-12-04T08:42:45.746677')"
"(200, False, '2020-12-04T08:42:55.493557')","(200, False, '2020-12-04T08:42:52.643557')","(200, False, '2020-12-04T08:42:55.297558')","(200, False, '2020-12-04T08:42:52.579557')","(200, False, '2020-12-04T08:42:50.927493')","(200, False, '2020-12-04T08:42:54.888558')","(200, False, '2020-12-04T08:42:51.062557')","(200, False, '2020-12-04T08:42:51.176559')","(200, False, '2020-12-04T08:42:55.122558')"
"(200, False, '2020-12-04T08:45:21.391222')","(200, False, '2020-12-04T08:45:18.602221')","(200, False, '2020-12-04T08:45:18.767221')","(200, False, '2020-12-04T08:45:18.439224')","(200, False, '2020-12-04T08:45:16.917227')","(200, False, '2020-12-04T08:45:20.986221')","(200, False, '2020-12-04T08:45:17.056221')","(200, False, '2020-12-04T08:45:18.540221')","(200, False, '2020-12-04T08:45:21.193221')"
"(200, False, '2020-12-04T08:45:33.822546')","(200, False, '2020-12-04T08:45:31.085545')","(200, False, '2020-12-04T08:45:31.024547')","(200, False, '2020-12-04T08:45:30.809546')","(200, False, '2020-12-04T08:45:29.334547')","(200, False, '2020-12-04T08:45:33.607545')","(200, False, '2020-12-04T08:45:29.197545')","(200, False, '2020-12-04T08:45:29.320545')","(200, False, '2020-12-04T08:45:31.277545')"
"(200, False, '2020-12-04T08:49:07.513644')","(200, False, '2020-12-04T08:49:04.626647')","(200, False, '2020-12-04T08:49:03.098643')","(200, False, '2020-12-04T08:49:04.451643')","(200, False, '2020-12-04T08:49:02.704644')","(200, False, '2020-12-04T08:49:07.117645')","(200, False, '2020-12-04T08:49:02.861652')","(200, False, '2020-12-04T08:49:04.555647')","(200, False, '2020-12-04T08:49:07.326646')"
"(200, False, '2020-12-04T08:50:03.324179')","(200, False, '2020-12-04T08:50:00.478178')","(200, False, '2020-12-04T08:50:00.645178')","(200, False, '2020-12-04T08:50:00.409181')","(200, False, '2020-12-04T08:49:58.665180')","(200, False, '2020-12-04T08:50:02.908178')","(200, False, '2020-12-04T08:49:58.830178')","(200, False, '2020-12-04T08:49:58.983179')","(200, False, '2020-12-04T08:50:03.119179')"
"(200, False, '2020-12-04T08:50:12.322588')","(200, False, '2020-12-04T08:50:09.665589')","(200, False, '2020-12-04T08:50:09.602589')","(200, False, '2020-12-04T08:50:09.386589')","(200, False, '2020-12-04T08:50:07.938589')","(200, False, '2020-12-04T08:50:11.903589')","(200, False, '2020-12-04T08:50:07.797589')","(200, False, '2020-12-04T08:50:07.932589')","(200, False, '2020-12-04T08:50:12.097589')"
"(200, False, '2020-12-04T08:50:22.944795')","(200, False, '2020-12-04T08:50:20.281798')","(200, False, '2020-12-04T08:50:20.215797')","(200, False, '2020-12-04T08:50:20.045795')","(200, False, '2020-12-04T08:50:18.370797')","(200, False, '2020-12-04T08:50:22.572797')","(200, False, '2020-12-04T08:50:18.474796')","(200, False, '2020-12-04T08:50:18.587796')","(200, False, '2020-12-04T08:50:22.751796')"
"(200, False, '2020-12-04T08:52:00.890025')","(200, False, '2020-12-04T08:51:58.185025')","(200, False, '2020-12-04T08:51:58.125026')","(200, False, '2020-12-04T08:51:57.957024')","(200, False, '2020-12-04T08:51:56.288933')","(200, False, '2020-12-04T08:52:00.483025')","(200, False, '2020-12-04T08:51:56.433027')","(200, False, '2020-12-04T08:51:56.585026')","(200, False, '2020-12-04T08:52:00.690027')"
"(200, False, '2020-12-05T16:05:20.864617')","(200, False, '2020-12-05T16:05:20.617617')","(200, False, '2020-12-05T16:05:17.399616')","(200, True, '2020-12-05T16:05:17.212620')","(200, False, '2020-12-05T16:05:15.618022')","(200, False, '2020-12-05T16:05:20.276618')","(200, None, '2020-12-05T16:05:15.854108')","(200, False, '2020-12-05T16:05:17.502617')","(200, False, '2020-12-05T16:05:20.552615')"
"(200, False, '2020-12-05T16:08:27.194408')","(200, False, '2020-12-05T16:08:22.397407')","(200, False, '2020-12-05T16:08:22.041410')","(200, True, '2020-12-05T16:08:21.563406')","(200, False, '2020-12-05T16:08:21.566407')","(200, False, '2020-12-05T16:08:26.796407')","(200, None, '2020-12-05T16:08:21.722406')","(200, False, '2020-12-05T16:08:18.861406')","(200, False, '2020-12-05T16:08:22.309407')"
"(200, False, '2020-12-10T22:45:54.046197')","(200, False, '2020-12-10T22:45:56.265196')","(200, False, '2020-12-10T22:45:53.554199')","(200, True, '2020-12-10T22:45:53.361196')","(200, False, '2020-12-10T22:45:51.954198')","(200, False, '2020-12-10T22:45:56.215197')","(200, None, '2020-12-10T22:45:53.821197')","(200, False, '2020-12-10T22:45:53.696198')","(200, None, '2020-12-10T22:45:53.702199')"
